timestamp;element_id;process_instance_key;
2023.12.04 11:37:38.000;/api-gateway/kab/permanent/getESignForm/<dealId>;V0Jka21KbXQ0MDcxMjA0MDAwNw;
2023.12.04 11:38:10.000;/api-gateway/kab/permanent/readApplication/<dealId>;UU9pdE13bW0zMDMxMjA0MDAwOA;
2023.12.04 11:33:42.000;/api-gateway/kab/permanent/readApplication/<dealId>;c2tCeE0wczQwMzEyMDQwMDAz;
2023.12.04 11:33:54.000;/api-gateway/kab/permanent/setEIdEnvelopeId/<dealId>;T0RsMTR1TjU0MDMxMjA0MDAwMQ;
2023.12.04 11:33:54.000;/api-gateway/kab/permanent/setEFunctions/<dealId>;MktjQXJsTTQwMzEyMDQwMDAw;
2023.12.04 11:33:21.000;/api-gateway/identification/confirmApplicantIdentity/<dealId>;T0RsMTR1TjU0MDMxMjA0MDAwMQ;
2023.12.04 11:33:50.000;/api-gateway/kab/permanent/readApplication/<dealId>;MktjQXJsTTQwMzEyMDQwMDAw;
2023.12.04 11:34:06.000;/api-gateway/kab/permanent/readApplication/<dealId>;MktjQXJsTTQwMzEyMDQwMDAw;
2023.12.04 11:33:56.000;/api-gateway/kab/permanent/readApplication/<dealId>;Ty1kMFFTaFJZUTE5MzEyMDIwMDAy;
2023.12.04 11:34:01.000;/api-gateway/kab/permanent/setEFunctions/<dealId>;Ty1kMFFTaFJZUTE5MzEyMDIwMDAy;
2023.12.04 11:33:47.000;/api-gateway/kab/permanent/readApplication/<dealId>;Ty1kMFFTaFJZUTE5MzEyMDIwMDAy;
2023.12.04 11:34:07.000;/api-gateway/kab/permanent/getEmergencyDataForm/<dealId>;Ty1kMFFTaFJZUTE5MzEyMDIwMDAy;
2023.12.04 11:38:08.000;/api-gateway/kab/permanent/signEmergencyData/<dealId>;V0Jka21KbXQ0MDcxMjA0MDAwNw;
2023.12.04 11:37:06.000;/api-gateway/kab/permanent/readApplication/<dealId>;V0Jka21KbXQ0MDcxMjA0MDAwNw;
2023.12.04 11:38:22.000;/api-gateway/kab/permanent/readApplication/<dealId>;UU9pdE13bW0zMDMxMjA0MDAwOA;
2023.12.04 11:38:54.000;/api-gateway/kab/permanent/readApplication/<dealId>;UU9pdE13bW0zMDMxMjA0MDAwOA;
2023.12.04 11:38:17.000;/api-gateway/kab/permanent/readApplication/<dealId>;V0Jka21KbXQ0MDcxMjA0MDAwNw;
2023.12.04 11:36:07.000;/api-gateway/kab/permanent/readApplication/<dealId>;emRrZWZQNjdiQTQwMzEyMDQwMDA0;
2023.12.04 11:35:58.000;/api-gateway/kab/permanent/readApplication/<dealId>;emRrZWZQNjdiQTQwMzEyMDQwMDA0;
2023.12.04 11:36:01.000;/api-gateway/kab/permanent/setDocumentData/<dealId>;emRrZWZQNjdiQTQwMzEyMDQwMDA0;
2023.12.04 11:34:29.000;/api-gateway/kab/permanent/setEFunctions/<dealId>;c2tCeE0wczQwMzEyMDQwMDAz;
2023.12.04 11:34:21.000;/api-gateway/kab/permanent/readApplication/<dealId>;c2tCeE0wczQwMzEyMDQwMDAz;
2023.12.04 11:34:22.000;/api-gateway/kab/permanent/approveApplication/<dealId>;MktjQXJsTTQwMzEyMDQwMDAw;
2023.12.04 11:34:44.000;/api-gateway/kab/permanent/signEmergencyData/<dealId>;T0RsMTR1TjU0MDMxMjA0MDAwMQ;
2023.12.04 11:34:29.000;/api-gateway/kab/permanent/readApplication/<dealId>;T0RsMTR1TjU0MDMxMjA0MDAwMQ;
